    f         Sigma
24807717717.72 0.00038890
24842742742.74 0.00038672
24877767767.77 0.00038481
24912792792.79 0.00038318
24947817817.82 0.00038182
24982842842.84 0.00038074
25017867867.87 0.00037995
25052892892.89 0.00037943
25087917917.92 0.00037919
25122942942.94 0.00037924
25157967967.97 0.00037957
25192992992.99 0.00038017
25228018018.02 0.00038105
25263043043.04 0.00038220
25298068068.07 0.00038363
25333093093.09 0.00038531
25368118118.12 0.00038726
25403143143.14 0.00038946
25438168168.17 0.00039191
25473193193.19 0.00039460
25508218218.22 0.00039753
25543243243.24 0.00040068
25578268268.27 0.00040406
25613293293.29 0.00040764
25648318318.32 0.00041142
25683343343.34 0.00041540
25718368368.37 0.00041956
25753393393.39 0.00042389
25788418418.42 0.00042838
25823443443.44 0.00043303
25858468468.47 0.00043781
25893493493.49 0.00044272
25928518518.52 0.00044775
25963543543.54 0.00045288
25998568568.57 0.00045810
26033593593.59 0.00046340
26068618618.62 0.00046877
26103643643.64 0.00047419
26138668668.67 0.00047965
26173693693.69 0.00048515
26208718718.72 0.00049065
26243743743.74 0.00049617
26278768768.77 0.00050167
26313793793.79 0.00050715
26348818818.82 0.00051260
26383843843.84 0.00051800
26418868868.87 0.00052334
26453893893.89 0.00052861
26488918918.92 0.00053379
26523943943.94 0.00053888
26558968968.97 0.00054387
26593993993.99 0.00054874
26629019019.02 0.00055348
26664044044.04 0.00055808
26699069069.07 0.00056253
26734094094.09 0.00056683
26769119119.12 0.00057096
26804144144.14 0.00057491
26839169169.17 0.00057867
26874194194.19 0.00058225
26909219219.22 0.00058562
26944244244.24 0.00058879
26979269269.27 0.00059174
27014294294.29 0.00059447
27049319319.32 0.00059698
27084344344.34 0.00059925
27119369369.37 0.00060129
27154394394.39 0.00060309
27189419419.42 0.00060465
27224444444.44 0.00060596
27259469469.47 0.00060703
27294494494.49 0.00060785
27329519519.52 0.00060841
27364544544.54 0.00060873
27399569569.57 0.00060879
27434594594.59 0.00060861
27469619619.62 0.00060817
27504644644.64 0.00060749
27539669669.67 0.00060656
27574694694.69 0.00060539
27609719719.72 0.00060399
27644744744.74 0.00060234
27679769769.77 0.00060047
27714794794.79 0.00059837
27749819819.82 0.00059606
27784844844.84 0.00059352
27819869869.87 0.00059078
27854894894.89 0.00058784
27889919919.92 0.00058471
27924944944.94 0.00058139
27959969969.97 0.00057789
27994994994.99 0.00057422
28030020020.02 0.00057040
28065045045.05 0.00056642
28100070070.07 0.00056230
28135095095.10 0.00055805
28170120120.12 0.00055367
28205145145.15 0.00054918
28240170170.17 0.00054460
28275195195.20 0.00053992
28310220220.22 0.00053516
28345245245.25 0.00053034
28380270270.27 0.00052546
28415295295.30 0.00052053
28450320320.32 0.00051557
28485345345.35 0.00051058
28520370370.37 0.00050558
28555395395.40 0.00050058
28590420420.42 0.00049560
28625445445.45 0.00049063
28660470470.47 0.00048570
28695495495.50 0.00048082
28730520520.52 0.00047599
28765545545.55 0.00047122
28800570570.57 0.00046654
28835595595.60 0.00046194
28870620620.62 0.00045744
28905645645.65 0.00045304
28940670670.67 0.00044877
28975695695.70 0.00044462
29010720720.72 0.00044061
29045745745.75 0.00043674
29080770770.77 0.00043302
29115795795.80 0.00042947
29150820820.82 0.00042608
29185845845.85 0.00042288
29220870870.87 0.00041985
29255895895.90 0.00041701
29290920920.92 0.00041437
29325945945.95 0.00041192
29360970970.97 0.00040969
29395995996.00 0.00040766
29431021021.02 0.00040584
29466046046.05 0.00040424
29501071071.07 0.00040286
29536096096.10 0.00040171
29571121121.12 0.00040077
29606146146.15 0.00040007
29641171171.17 0.00039959
29676196196.20 0.00039933
29711221221.22 0.00039930
29746246246.25 0.00039950
29781271271.27 0.00039992
29816296296.30 0.00040057
29851321321.32 0.00040144
29886346346.35 0.00040252
29921371371.37 0.00040382
29956396396.40 0.00040533
29991421421.42 0.00040704
30026446446.45 0.00040896
30061471471.47 0.00041108
30096496496.50 0.00041338
30131521521.52 0.00041588
30166546546.55 0.00041855
30201571571.57 0.00042139
30236596596.60 0.00042440
30271621621.62 0.00042757
30306646646.65 0.00043089
30341671671.67 0.00043435
30376696696.70 0.00043795
30411721721.72 0.00044167
30446746746.75 0.00044550
30481771771.77 0.00044944
30516796796.80 0.00045349
30551821821.82 0.00045761
30586846846.85 0.00046182
30621871871.87 0.00046610
30656896896.90 0.00047043
30691921921.92 0.00047482
30726946946.95 0.00047924
30761971971.97 0.00048369
30796996997.00 0.00048815
30832022022.02 0.00049263
30867047047.05 0.00049710
30902072072.07 0.00050156
30937097097.10 0.00050599
30972122122.12 0.00051039
31007147147.15 0.00051475
31042172172.17 0.00051906
31077197197.20 0.00052330
31112222222.22 0.00052747
31147247247.25 0.00053156
31182272272.27 0.00053556
31217297297.30 0.00053946
31252322322.32 0.00054325
31287347347.35 0.00054692
31322372372.37 0.00055047
31357397397.40 0.00055389
31392422422.42 0.00055716
31427447447.45 0.00056029
31462472472.47 0.00056327
31497497497.50 0.00056608
31532522522.52 0.00056873
31567547547.55 0.00057121
31602572572.57 0.00057351
31637597597.60 0.00057563
31672622622.62 0.00057756
31707647647.65 0.00057931
31742672672.67 0.00058086
31777697697.70 0.00058221
31812722722.72 0.00058336
31847747747.75 0.00058432
31882772772.77 0.00058507
31917797797.80 0.00058561
31952822822.82 0.00058595
31987847847.85 0.00058609
32022872872.87 0.00058602
32057897897.90 0.00058575
32092922922.92 0.00058528
32127947947.95 0.00058460
32162972972.97 0.00058373
32197997998.00 0.00058266
32233023023.02 0.00058139
32268048048.05 0.00057994
32303073073.07 0.00057830
32338098098.10 0.00057647
32373123123.12 0.00057447
32408148148.15 0.00057230
32443173173.17 0.00056996
32478198198.20 0.00056746
32513223223.22 0.00056480
32548248248.25 0.00056200
32583273273.27 0.00055905
32618298298.30 0.00055597
32653323323.32 0.00055276
32688348348.35 0.00054944
32723373373.37 0.00054600
32758398398.40 0.00054245
32793423423.42 0.00053882
32828448448.45 0.00053509
32863473473.47 0.00053129
32898498498.50 0.00052742
32933523523.52 0.00052349
32968548548.55 0.00051950
33003573573.57 0.00051548
33038598598.60 0.00051142
33073623623.62 0.00050734
33108648648.65 0.00050325
33143673673.67 0.00049915
33178698698.70 0.00049506
33213723723.72 0.00049098
33248748748.75 0.00048693
33283773773.77 0.00048291
33318798798.80 0.00047893
